Jahr,Monat,Date,Erstantrag,Folgeantrag,EASY Asylsuchende,Asylsuchende
2014,1,2014-01-01,12556,1907,12356,
2014,2,2014-02-01,9828,1392,9822,
2014,3,2014-03-01,9839,1441,10919,
2014,4,2014-04-01,10199,1304,12185,
2014,5,2014-05-01,11160,1297,14466,
2014,6,2014-06-01,12077,1942,17443,
2014,7,2014-07-01,16191,3240,20560,
2014,8,2014-08-01,15138,2557,21268,
2014,9,2014-09-01,16214,2829,27790,
2014,10,2014-10-01,18415,2864,29674,
2014,11,2014-11-01,18748,3327,27095,
2014,12,2014-12-01,17059,3325,35098,
2015,1,2015-01-01,21679,3363,32229,
2015,2,2015-02-01,22775,3308,38892,
2015,3,2015-03-01,28681,3373,31091,
2015,4,2015-04-01,24504,2674,33150,
2015,5,2015-05-01,23758,2234,37194,
2015,6,2015-06-01,32705,2744,53721,
2015,7,2015-07-01,34384,3147,82798,
2015,8,2015-08-01,33447,2975,104460,
2015,9,2015-09-01,40487,2584,163772,
2015,10,2015-10-01,52730,2147,181166,
2015,11,2015-11-01,55950,1866,206101,
2015,12,2015-12-01,46730,1547,127320,
2016,1,2016-01-01,50532,1571,91671,
2016,2,2016-02-01,66127,1670,61428,
2016,3,2016-03-01,58315,1660,20608,
2016,4,2016-04-01,59680,1263,15941,
2016,5,2016-05-01,54056,1203,16281,
2016,6,2016-06-01,73033,1604,16335,
2016,7,2016-07-01,72984,1470,16160,
2016,8,2016-08-01,89703,1628,18143,
2016,9,2016-09-01,74782,1618,15618,
2016,10,2016-10-01,30864,1776,15178,
2016,11,2016-11-01,24574,1864,17556,
2016,12,2016-12-01,18968,1607,16442,
2017,1,2017-01-01,16057,1907,,14476
2017,2,2017-02-01,14951,1617,,14289
2017,3,2017-03-01,18081,2055,,14976
2017,4,2017-04-01,13338,1510,,11952
2017,5,2017-05-01,15097,1544,,14973
2017,6,2017-06-01,13685,1576,,12399
2017,7,2017-07-01,15001,1843,,15069
2017,8,2017-08-01,16633,2018,,16312
2017,9,2017-09-01,14568,1952,,14688
2017,10,2017-10-01,14984,2044,,15170
2017,11,2017-11-01,16468,2243,,16135
2017,12,2017-12-01,12487,1806,,13082
